angDist,angDist2,angDist22,angDist222,TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,cell,sky,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,Ng,Nr,Ni,Nz,Ny,gPSFf,gmag,e_gmag,gmagStd,o_gmag,b_gmag,B_gmag,gKmag,e_gKmag,gFlags,rPSFf,rmag,e_rmag,rmagStd,o_rmag,b_rmag,B_rmag,rKmag,e_rKmag,rFlags,iPSFf,imag,e_imag,imagStd,o_imag,b_imag,B_imag,iKmag,e_iKmag,iFlags,zPSFf,zmag,e_zmag,zmagStd,o_zmag,b_zmag,B_zmag,zKmag,e_zKmag,zFlags,yPSFf,ymag,e_ymag,ymagStd,o_ymag,b_ymag,B_ymag,yKmag,e_yKmag,yFlags,JName,ra,dec,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,yAperMag3Err,j_1AperMag3Err,hAperMag3Err,kAperMag3Err,sourceID,mode,epoch,mergedClass,JNAME,ra2,dec2,errHalfMaj2,errHalfMin2,errPosAng2,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,RAJ20002,DEJ20002,name,objid,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr2,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd2,primidd,groupidd,grouptot,OName,Size
0.560992,0.250347,0.203281,0.013804,39627751497401912,179.32973373931003,-1.4582813772798109,1.3112,QSO,-0.02155395521484449,0.004490044686165169,2.3475532185119494e-05,45.07751387224435,True,106251793297490521,179.32973736128,-1.45828263968,0.003000000026077032,0.003000000026077032,90.0,1277,66,436527256,52,0.00306942623,0.00301241677,56022.882691323,5,56,7,11,16,14,8,0.999239981174469,20.005300521850586,0.0027000000700354576,0.08030000329017639,4,19.87459945678711,20.01300048828125,20.12980079650879,0.04830000177025795,115000,0.9989789724349976,19.592500686645508,0.010099999606609344,0.05889999866485596,6,19.607999801635742,19.6643009185791,19.477399826049805,0.039500001817941666,115000,0.9996650218963623,19.56279945373535,0.03720000013709068,0.15770000219345093,15,19.390899658203125,19.983800888061523,19.637800216674805,0.03669999912381172,115000,0.9993590116500854,19.6023006439209,0.045899998396635056,0.18129999935626984,10,19.45680046081543,19.94260025024414,19.569599151611328,0.06780000030994415,115000,0.9986479878425598,19.58690071105957,0.0568000003695488,0.21739999949932098,8,19.44339942932129,20.034799575805664,19.532400131225586,0.05249999836087227,115000,J115719.14-012729.6,179.329776,-1.458244,18.979999542236328,18.85099983215332,17.906999588012695,17.288000106811523,0.05000000074505806,0.08500000089406967,0.057999998331069946,0.07999999821186066,433870836333,1,2008.191650390625,1,J115719.14-012729.6,179.329788,-1.458238,0.34299999475479126,0.3100000023841858,70.0,16.009000778198242,14.607999801635742,12.144000053405762,8.586000442504883,,,,0.07500000298023224,0.07199999690055847,0.3490000069141388,0.3779999911785126,,,,1800001601241020351,0000,0,01nn,AABC,,179.329886,-1.458247,GALEX J115719.1-012729,6382596970242901501,6382596970241851392,AIS,178.975111,-1.212785,187.0,299.0,276.2733,58.5841,50332,97,3,0.431333988904953,True,1,0.01979999989271164,0,0,,,20.341999053955078,0.0940999984741211,,,0.2619999945163727,0.0940999984741211,,,0.3041999936103821,0.08709999918937683,,,0.26080000400543213,0.10769999772310257,0,0,0,0,,,26.497299194335938,2.2953500747680664,,,1075.1600341796875,1327.81005859375,,4.49399995803833,,0.0020000000949949026,0.9835000038146973,0.0,0.11389999836683273,,-58.5,-68.43000030517578,,,10.973199844360352,,3.5,0.0008110000053420663,0.0007179999956861138,,,,242.1999969482422,149.60000610351562,,,0.5400000214576721,,,0.15000000596046448,,C,0,1,6382596970242900992,6382596970242901501,0,1,6382596970242900992,6382596970242901501,6382596970242901501,N,0.0
1.087433,0.22771,0.15051,0.013154,39627752067828959,213.38838906796622,-1.4199210425120636,0.6794,QSO,0.043902415787113735,0.005178780794029923,1.9678258886814096e-05,44.43065875662721,True,106292133884466481,213.38838741935,-1.41992430354,0.0020000000949949026,0.0020000000949949026,90.0,1285,61,436527256,52,0.00202690777,0.00197526034,55961.564511388,5,79,16,11,20,16,16,0.9996749758720398,19.0846004486084,0.03840000182390213,0.12549999356269836,14,18.90399932861328,19.309499740600586,19.176000595092773,0.04830000177025795,115000,0.9989140033721924,18.999500274658203,0.023399999365210533,0.1526000052690506,7,18.92009925842285,19.326799392700195,19.03619956970215,0.01769999973475933,115000,0.999288022518158,19.190399169921875,0.019999999552965164,0.0957999974489212,12,19.174999237060547,19.39080047607422,19.167499542236328,0.026200000196695328,115000,0.9991520047187805,18.883899688720703,0.022199999541044235,0.20170000195503235,15,18.320899963378906,19.209400177001953,18.961999893188477,0.03060000017285347,115000,0.9996190071105957,19.085599899291992,0.030899999663233757,0.15049999952316284,16,18.854799270629883,19.334199905395508,19.044200897216797,0.05209999904036522,115000,J141333.22-012511.6,213.38843,-1.419913,18.650999069213867,18.180999755859375,17.601999282836914,17.145999908447266,0.06800000369548798,0.0820000022649765,0.07500000298023224,0.07500000298023224,433870944666,1,2008.317626953125,0,J141333.22-012511.6,213.388449,-1.4199,0.20900000631809235,0.19499999284744263,86.0,15.645000457763672,14.482000350952148,12.071000099182129,8.880999565124512,,,,0.0430000014603138,0.05400000140070915,0.23600000143051147,0.28299999237060547,,,,2132001601241019338,0000,0,15nn,AABB,,213.38858,-1.419687,GALEX J141333.2-012510,6379219287702243017,6379219287701192704,AIS,213.445109,-1.371782,71.0,71.0,340.918,55.2769,50236,609,19,0.07408499717712402,True,1,0.056299999356269836,0,0,,,20.073200225830078,0.17350000143051147,,,-0.006800000090152025,0.17350000143051147,,,0.1412999927997589,0.1777999997138977,,,0.0502999983727932,0.20999999344348907,0,0,0,0,,,33.94029998779297,5.423190116882324,,,2084.77001953125,1756.030029296875,,6.705999851226807,,0.003000000026077032,0.9836000204086304,0.0,0.15790000557899475,,-9.199999809265137,-9.0600004196167,,,10.09060001373291,5.564370155334473,3.5,0.0007650000043213367,0.0006440000142902136,,,,52.79999923706055,67.5,,,0.5600000023841858,,,0.1599999964237213,,C,0,1,6379219287702243328,6379219287702243017,0,1,6379219287702243328,6379219287702243017,6379219287702243017,N,0.0
0.564225,0.612518,0.102602,0.004666,39627763644108485,183.43472499678055,-0.8992192646795754,1.3218,QSO,0.031044388845391513,0.0,3.6295430948322584e-05,45.11059435239174,True,106921834346801384,183.43472483626,-0.89921797848,0.004999999888241291,0.004999999888241291,0.0,1278,76,436527248,52,0.00455802131,0.00457748591,56042.03224293,5,55,13,11,16,12,3,0.9994000196456909,20.58639907836914,0.05050000175833702,0.19499999284744263,10,20.346599578857422,20.94580078125,20.70870018005371,0.0917000025510788,115000,0.999705970287323,20.165599822998047,0.03830000013113022,0.10909999907016754,11,19.981599807739258,20.334999084472656,20.261699676513672,0.031599998474121094,115000,0.999405026435852,20.036699295043945,0.03420000150799751,0.12720000743865967,13,19.8439998626709,20.32990074157715,20.096799850463867,0.0406000018119812,115000,0.9997439980506897,20.06529998779297,0.05660000070929527,0.22949999570846558,11,19.785600662231445,20.489200592041016,20.11829948425293,0.06849999725818634,115000,0.9992989897727966,19.73900032043457,0.1356000006198883,0.3264000117778778,3,19.604700088500977,20.15839958190918,19.86370086669922,0.20720000565052032,115000,J121344.32-005357.2,183.4347,-0.899233,19.450000762939453,19.02899932861328,18.02899932861328,,0.12700000405311584,0.1509999930858612,0.12300000339746475,,433869497713,1,2008.4073486328125,1,J121344.36-005357.5,183.434855,-0.899329,0.33000001311302185,0.3070000112056732,86.0,15.871000289916992,14.494999885559082,11.92300033569336,8.166000366210938,,,,0.05999999865889549,0.09300000220537186,,,,,,1830001601241018875,0000,0,11nn,AAUU,,183.43488,-0.899199,GALEX J121344.3-005357,6382597007823867995,6382597007822815232,AIS,183.081024,-1.166232,135.0,215.0,283.486,60.5414,50332,1217,38,0.4432609975337982,True,1,0.021700000390410423,0,0,,,20.89889907836914,0.14959999918937683,,,0.8188999891281128,0.14959999918937683,,,0.866599977016449,0.1370999962091446,,,0.9473999738693237,0.20170000195503235,0,0,0,0,,,15.865500450134277,2.185189962387085,,,1069.0899658203125,2584.280029296875,,6.131999969482422,,0.003000000026077032,0.9977999925613403,0.0,0.1386999934911728,,70.48999786376953,69.27999877929688,,,10.657500267028809,5.088290214538574,3.5,0.0007989999721758068,0.0006880000000819564,,,,183.10000610351562,110.0999984741211,,,0.6399999856948853,,,0.23999999463558197,,C,0,1,6382597007823867904,6382597007823867995,0,1,6382597007823867904,6382597007823867995,6382597007823867995,N,0.0
0.136178,1.327132,0.057528,0.004461,39627770262716602,217.75689597823057,-0.714351394828137,0.334,QSO,0.11969541548700269,0.0,7.598239140409036e-05,43.74281082875007,True,107142177569233223,217.75689475697,-0.71435118415,0.003000000026077032,0.003000000026077032,90.0,1286,80,436527104,52,0.0029504836,0.00294577178,56106.198522279,5,51,10,8,14,9,10,0.9996680021286011,19.777999877929688,0.12639999389648438,0.4733000099658966,9,19.514299392700195,20.503400802612305,19.836599349975586,0.11909999698400497,115000,0.9996579885482788,19.4822998046875,0.03830000013113022,0.20900000631809235,7,19.374000549316406,19.857500076293945,19.41670036315918,0.03519999980926514,16892216,0.9996129870414734,19.546899795532227,0.04259999841451645,0.18209999799728394,12,19.302200317382812,19.849899291992188,19.431900024414062,0.052299998700618744,16892216,0.9989979863166809,18.481599807739258,0.06539999693632126,0.16899999976158142,8,18.305099487304688,18.7273006439209,18.493099212646484,0.051500000059604645,115000,0.9990609884262085,19.215700149536133,0.11949999630451202,0.21930000185966492,7,18.835899353027344,19.467899322509766,19.145700454711914,0.14259999990463257,115000,J143101.65-004251.6,217.756911,-0.714346,18.518999099731445,18.218000411987305,17.41699981689453,16.726999282836914,0.06300000101327896,0.0729999989271164,0.06599999964237213,0.06499999761581421,433868311920,1,2008.2900390625,1,J143101.73-004251.1,217.75724,-0.714218,0.17399999499320984,0.16500000655651093,84.0,15.168999671936035,14.378999710083008,11.633000373840332,8.729999542236328,,,,0.03700000047683716,0.05000000074505806,0.1509999930858612,0.30000001192092896,,,,2178100001241003466,0000,0,21nn,AABB,,217.756909,-0.714387,GALEX J143101.6-004251,6383547044928160861,6383547044925014016,AIS,218.05984,-0.48788,112.0,112.0,347.6809,53.2761,50359,2977,93,0.37823599576950073,True,3,0.045099999755620956,0,0,20.082799911499023,0.20170000195503235,20.394399642944336,0.1632000058889389,1.2627999782562256,0.20170000195503235,0.31439998745918274,0.1632000058889389,1.308500051498413,0.21040000021457672,0.38499999046325684,0.1559000015258789,1.1613999605178833,0.20229999721050262,0.3082999885082245,0.19370000064373016,0,0,0,0,33.64229965209961,6.249489784240723,25.24799919128418,3.7950599193573,2593.080078125,1404.06005859375,2593.300048828125,1403.6700439453125,3.619999885559082,7.547999858856201,0.0020000000949949026,0.003000000026077032,0.9833999872207642,0.9830999970436096,0.1996999979019165,0.11590000241994858,-78.43000030517578,-78.72000122070312,84.80000305175781,84.80000305175781,5.228439807891846,2.097529888153076,3.5,0.0008079999824985862,0.0006459999713115394,3.5,0.0006639999919570982,0.0005869999877177179,92.30000305175781,83.19999694824219,0.746999979019165,0.5400000214576721,0.6100000143051147,0.7699999809265137,0.6700000166893005,0.20999999344348907,0.09000000357627869,C,0,1,6383547044928160768,6383547044928160861,0,1,6383547044928160768,6383547044928160861,6383547044928160861,N,0.0
1.31655,0.085592,0.09892,0.013908,39627788335975931,215.12365289121297,0.034299359123966866,1.1207,QSO,-0.0055388860841352194,0.004684153420053063,1.9117145351084264e-05,45.07822465957489,True,108042151236371620,215.12365435166,0.03430293584,0.003000000026077032,0.003000000026077032,90.0,1376,7,436527256,52,0.00273102485,0.00269255576,56119.222472986,5,65,14,10,20,11,10,0.9997169971466064,19.608400344848633,0.019300000742077827,0.05649999901652336,12,19.538799285888672,19.73270034790039,19.68910026550293,0.03480000048875809,115000,0.999675989151001,19.370500564575195,0.015200000256299973,0.17839999496936798,9,19.314199447631836,19.843399047851562,19.49329948425293,0.03550000116229057,115000,0.9992009997367859,19.36720085144043,0.014399999752640724,0.06210000067949295,18,19.25,19.45050048828125,19.42889976501465,0.02239999920129776,115000,0.9996449947357178,19.56100082397461,0.014600000344216824,0.09700000286102295,10,19.50550079345703,19.808700561523438,19.62660026550293,0.024700000882148743,115000,0.998835027217865,19.407499313354492,0.03779999911785126,0.125900000333786,9,19.312599182128906,19.72920036315918,19.547000885009766,0.056699998676776886,115000,J142029.67+000203.4,215.123626,0.034305,18.458999633789062,18.618000030517578,17.61400032043457,17.08300018310547,0.04600000008940697,0.10199999809265137,0.07000000029802322,0.07699999958276749,433860890357,2,2007.304443359375,0,J142029.68+000203.5,215.123674,0.03431,0.12800000607967377,0.11999999731779099,85.0,15.91100025177002,14.555000305175781,11.791000366210938,8.788000106811523,,,,0.05400000140070915,0.057999998331069946,0.20000000298023224,,,,,2147100001241019588,0000,0,11nn,AABU,,215.123841,0.034613,GALEX J142029.7+000204,6379219276966924388,6379219276963774464,AIS,214.984105,-0.49615,135.0,135.0,344.8874,55.4781,50236,289,9,0.5488489866256714,True,3,0.039000000804662704,0,0,20.632699966430664,0.275299996137619,19.51740074157715,0.09449999779462814,1.8127000331878662,0.275299996137619,-0.5626000165939331,0.09449999779462814,1.8664000034332275,0.2892000079154968,-0.38199999928474426,0.09449999779462814,1.9142999649047852,0.3262999951839447,-0.5669000148773193,0.09880000352859497,0,0,0,0,20.273000717163086,5.139100074768066,56.62839889526367,4.928880214691162,1583.239990234375,3167.929931640625,1583.530029296875,3168.330078125,7.617000102996826,10.319000244140625,0.003000000026077032,0.004000000189989805,0.6891999840736389,0.9805999994277954,0.27129998803138733,0.16590000689029694,47.77000045776367,42.41999816894531,-11.779999732971191,-11.779999732971191,9.739970207214355,2.23432993888855,3.5,0.001104000024497509,0.0008040000102482736,3.5,0.0006629999843426049,0.0005530000198632479,107.5,85.5,0.5720000267028809,0.9100000262260437,0.5699999928474426,0.949999988079071,0.8299999833106995,0.17000000178813934,0.14000000059604645,C,1,2,6379219276966924288,6379219276966924388+6383547040633193129,1,2,6379219276966924288,6379219276966924388+6383547040633193129,6379219276966924388+6383547040633193129,N,0.0
1.31655,0.085592,0.111586,0.013908,39627788335975931,215.12365289121297,0.034299359123966866,1.1207,QSO,-0.0055388860841352194,0.004684153420053063,1.9117145351084264e-05,45.07822465957489,True,108042151236371620,215.12365435166,0.03430293584,0.003000000026077032,0.003000000026077032,90.0,1376,7,436527256,52,0.00273102485,0.00269255576,56119.222472986,5,65,14,10,20,11,10,0.9997169971466064,19.608400344848633,0.019300000742077827,0.05649999901652336,12,19.538799285888672,19.73270034790039,19.68910026550293,0.03480000048875809,115000,0.999675989151001,19.370500564575195,0.015200000256299973,0.17839999496936798,9,19.314199447631836,19.843399047851562,19.49329948425293,0.03550000116229057,115000,0.9992009997367859,19.36720085144043,0.014399999752640724,0.06210000067949295,18,19.25,19.45050048828125,19.42889976501465,0.02239999920129776,115000,0.9996449947357178,19.56100082397461,0.014600000344216824,0.09700000286102295,10,19.50550079345703,19.808700561523438,19.62660026550293,0.024700000882148743,115000,0.998835027217865,19.407499313354492,0.03779999911785126,0.125900000333786,9,19.312599182128906,19.72920036315918,19.547000885009766,0.056699998676776886,115000,J142029.67+000203.5,215.123625,0.034313,18.884000778198242,18.658000946044922,,17.141000747680664,0.07500000298023224,0.10400000214576721,,0.09200000017881393,433861360758,2,2008.369140625,0,J142029.68+000203.5,215.123674,0.03431,0.12800000607967377,0.11999999731779099,85.0,15.91100025177002,14.555000305175781,11.791000366210938,8.788000106811523,,,,0.05400000140070915,0.057999998331069946,0.20000000298023224,,,,,2147100001241019588,0000,0,11nn,AABU,,215.123841,0.034613,GALEX J142029.7+000204,6379219276966924388,6379219276963774464,AIS,214.984105,-0.49615,135.0,135.0,344.8874,55.4781,50236,289,9,0.5488489866256714,True,3,0.039000000804662704,0,0,20.632699966430664,0.275299996137619,19.51740074157715,0.09449999779462814,1.8127000331878662,0.275299996137619,-0.5626000165939331,0.09449999779462814,1.8664000034332275,0.2892000079154968,-0.38199999928474426,0.09449999779462814,1.9142999649047852,0.3262999951839447,-0.5669000148773193,0.09880000352859497,0,0,0,0,20.273000717163086,5.139100074768066,56.62839889526367,4.928880214691162,1583.239990234375,3167.929931640625,1583.530029296875,3168.330078125,7.617000102996826,10.319000244140625,0.003000000026077032,0.004000000189989805,0.6891999840736389,0.9805999994277954,0.27129998803138733,0.16590000689029694,47.77000045776367,42.41999816894531,-11.779999732971191,-11.779999732971191,9.739970207214355,2.23432993888855,3.5,0.001104000024497509,0.0008040000102482736,3.5,0.0006629999843426049,0.0005530000198632479,107.5,85.5,0.5720000267028809,0.9100000262260437,0.5699999928474426,0.949999988079071,0.8299999833106995,0.17000000178813934,0.14000000059604645,C,1,2,6379219276966924288,6379219276966924388+6383547040633193129,1,2,6379219276966924288,6379219276966924388+6383547040633193129,6379219276966924388+6383547040633193129,N,0.0
1.31655,0.085592,0.125595,0.013908,39627788335975931,215.12365289121297,0.034299359123966866,1.1207,QSO,-0.0055388860841352194,0.004684153420053063,1.9117145351084264e-05,45.07822465957489,True,108042151236371620,215.12365435166,0.03430293584,0.003000000026077032,0.003000000026077032,90.0,1376,7,436527256,52,0.00273102485,0.00269255576,56119.222472986,5,65,14,10,20,11,10,0.9997169971466064,19.608400344848633,0.019300000742077827,0.05649999901652336,12,19.538799285888672,19.73270034790039,19.68910026550293,0.03480000048875809,115000,0.999675989151001,19.370500564575195,0.015200000256299973,0.17839999496936798,9,19.314199447631836,19.843399047851562,19.49329948425293,0.03550000116229057,115000,0.9992009997367859,19.36720085144043,0.014399999752640724,0.06210000067949295,18,19.25,19.45050048828125,19.42889976501465,0.02239999920129776,115000,0.9996449947357178,19.56100082397461,0.014600000344216824,0.09700000286102295,10,19.50550079345703,19.808700561523438,19.62660026550293,0.024700000882148743,115000,0.998835027217865,19.407499313354492,0.03779999911785126,0.125900000333786,9,19.312599182128906,19.72920036315918,19.547000885009766,0.056699998676776886,115000,J142029.66+000203.5,215.123619,0.034308,18.909000396728516,18.958999633789062,18.211000442504883,17.586000442504883,0.03799999877810478,0.10100000351667404,0.11699999868869781,0.13500000536441803,433861076630,1,2005.450439453125,0,J142029.68+000203.5,215.123674,0.03431,0.12800000607967377,0.11999999731779099,85.0,15.91100025177002,14.555000305175781,11.791000366210938,8.788000106811523,,,,0.05400000140070915,0.057999998331069946,0.20000000298023224,,,,,2147100001241019588,0000,0,11nn,AABU,,215.123841,0.034613,GALEX J142029.7+000204,6379219276966924388,6379219276963774464,AIS,214.984105,-0.49615,135.0,135.0,344.8874,55.4781,50236,289,9,0.5488489866256714,True,3,0.039000000804662704,0,0,20.632699966430664,0.275299996137619,19.51740074157715,0.09449999779462814,1.8127000331878662,0.275299996137619,-0.5626000165939331,0.09449999779462814,1.8664000034332275,0.2892000079154968,-0.38199999928474426,0.09449999779462814,1.9142999649047852,0.3262999951839447,-0.5669000148773193,0.09880000352859497,0,0,0,0,20.273000717163086,5.139100074768066,56.62839889526367,4.928880214691162,1583.239990234375,3167.929931640625,1583.530029296875,3168.330078125,7.617000102996826,10.319000244140625,0.003000000026077032,0.004000000189989805,0.6891999840736389,0.9805999994277954,0.27129998803138733,0.16590000689029694,47.77000045776367,42.41999816894531,-11.779999732971191,-11.779999732971191,9.739970207214355,2.23432993888855,3.5,0.001104000024497509,0.0008040000102482736,3.5,0.0006629999843426049,0.0005530000198632479,107.5,85.5,0.5720000267028809,0.9100000262260437,0.5699999928474426,0.949999988079071,0.8299999833106995,0.17000000178813934,0.14000000059604645,C,1,2,6379219276966924288,6379219276966924388+6383547040633193129,1,2,6379219276966924288,6379219276966924388+6383547040633193129,6379219276966924388+6383547040633193129,N,0.0
1.769662,1.344919,0.23627,0.285344,39627836721466661,219.17069165711484,2.061248422446034,0.491,QSO,,,,43.867340134884884,True,110472191707213954,219.17076584066,2.06122037935,0.00800000037997961,0.00800000037997961,90.0,1377,57,444915712,53,0.00778735109,0.00778735109,56062.373514434,5,18,1,4,4,8,1,0.9990010261535645,21.234800338745117,0.1356000006198883,,1,21.234800338745117,21.234800338745117,,,115000,0.9993910193443298,20.809499740600586,0.020899999886751175,0.04830000177025795,3,20.7632999420166,20.85919952392578,20.59429931640625,0.059700001031160355,16892216,0.9985420107841492,20.165000915527344,0.016899999231100082,0.2971999943256378,3,19.74530029296875,20.18320083618164,19.717500686645508,0.20669999718666077,16892216,0.999625027179718,19.59429931640625,0.05480000004172325,0.13359999656677246,7,19.33180046081543,19.73819923400879,19.24139976501465,0.08649999648332596,16892216,0.9985830187797546,18.798900604248047,0.09969999641180038,,1,18.798900604248047,18.798900604248047,18.67650032043457,0.13580000400543213,16892208,J143640.98+020340.5,219.170756,2.061261,,18.381000518798828,17.506000518798828,,,0.07500000298023224,0.08100000023841858,,433850440238,1,2008.38037109375,1,J143641.04+020339.8,219.171026,2.061081,0.12999999523162842,0.11999999731779099,85.0,15.102999687194824,13.845999717712402,9.788999557495117,6.925000190734863,,,,0.035999998450279236,0.03799999877810478,0.03500000014901161,0.06499999761581421,,,,2193101501241037935,0000,0,1111,AAAA,,219.171179,2.06118,GALEX J143641.0+020340,6383547017008777641,6383547017007726592,AIS,219.606624,2.001324,112.0,112.0,352.5717,54.4555,50359,2145,67,0.43926799297332764,True,1,0.040699999779462814,0,0,,,21.895299911499023,0.3880999982357025,,,1.8152999877929688,0.3880999982357025,,,1.7897000312805176,0.35190001130104065,,,2.0720999240875244,0.76910001039505,0,0,0,0,,,6.336730003356934,2.26459002494812,,,2975.2099609375,2050.889892578125,,6.0289998054504395,,0.003000000026077032,0.9803000092506409,0.0,0.3878999948501587,,41.029998779296875,42.880001068115234,,,3.811460018157959,1.18271005153656,3.5,0.0007379999733529985,0.00045200000749900937,,,,99.80000305175781,111.4000015258789,,,1.2799999713897705,,,0.49000000953674316,,C,0,1,6383547017008777216,6383547017008777641,0,1,6383547017008777216,6383547017008777641,6383547017008777641,N,0.0
1.769662,1.344919,1.106368,0.285344,39627836721466661,219.17069165711484,2.061248422446034,0.491,QSO,,,,43.867340134884884,True,110472191707213954,219.17076584066,2.06122037935,0.00800000037997961,0.00800000037997961,90.0,1377,57,444915712,53,0.00778735109,0.00778735109,56062.373514434,5,18,1,4,4,8,1,0.9990010261535645,21.234800338745117,0.1356000006198883,,1,21.234800338745117,21.234800338745117,,,115000,0.9993910193443298,20.809499740600586,0.020899999886751175,0.04830000177025795,3,20.7632999420166,20.85919952392578,20.59429931640625,0.059700001031160355,16892216,0.9985420107841492,20.165000915527344,0.016899999231100082,0.2971999943256378,3,19.74530029296875,20.18320083618164,19.717500686645508,0.20669999718666077,16892216,0.999625027179718,19.59429931640625,0.05480000004172325,0.13359999656677246,7,19.33180046081543,19.73819923400879,19.24139976501465,0.08649999648332596,16892216,0.9985830187797546,18.798900604248047,0.09969999641180038,,1,18.798900604248047,18.798900604248047,18.67650032043457,0.13580000400543213,16892208,J143641.03+020340.1,219.170979,2.061139,18.649999618530273,18.485000610351562,17.667999267578125,16.64900016784668,0.0560000017285347,0.0820000022649765,0.09399999678134918,0.061000000685453415,433850440208,1,2008.3802490234375,1,J143641.04+020339.8,219.171026,2.061081,0.12999999523162842,0.11999999731779099,85.0,15.102999687194824,13.845999717712402,9.788999557495117,6.925000190734863,,,,0.035999998450279236,0.03799999877810478,0.03500000014901161,0.06499999761581421,,,,2193101501241037935,0000,0,1111,AAAA,,219.171179,2.06118,GALEX J143641.0+020340,6383547017008777641,6383547017007726592,AIS,219.606624,2.001324,112.0,112.0,352.5717,54.4555,50359,2145,67,0.43926799297332764,True,1,0.040699999779462814,0,0,,,21.895299911499023,0.3880999982357025,,,1.8152999877929688,0.3880999982357025,,,1.7897000312805176,0.35190001130104065,,,2.0720999240875244,0.76910001039505,0,0,0,0,,,6.336730003356934,2.26459002494812,,,2975.2099609375,2050.889892578125,,6.0289998054504395,,0.003000000026077032,0.9803000092506409,0.0,0.3878999948501587,,41.029998779296875,42.880001068115234,,,3.811460018157959,1.18271005153656,3.5,0.0007379999733529985,0.00045200000749900937,,,,99.80000305175781,111.4000015258789,,,1.2799999713897705,,,0.49000000953674316,,C,0,1,6383547017008777216,6383547017008777641,0,1,6383547017008777216,6383547017008777641,6383547017008777641,N,0.0
