TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,FUVmag,NUVmag,gmag,rmag,imag,zmag,ymag,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,W4mag,designation,ra,dec,zsp,spCl,ebv,umag,gmag_1,rmag_1,imag_1,zmag_1,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,broad,src,gmag_2,rmag_2,imag_2,zmag_2
39628346081936841,193.9913925336701,23.84899287147942,0.9756,QSO,0.668676776204018,0.0,,22.788999557495117,21.73539924621582,20.943599700927734,20.032699584960938,19.40130043029785,19.073200225830078,18.46500015258789,17.731000900268555,17.201000213623047,16.216999053955078,,,,14.630000114440918,13.378999710083008,10.258999824523926,7.802000045776367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39628379145637914,196.26523931296205,25.143506162145663,0.6887,QSO,0.6907264471767534,0.0,,22.580699920654297,21.624300003051758,20.362499237060547,19.629100799560547,19.182199478149414,19.08449935913086,18.59000015258789,17.922000885009766,17.118000030517578,16.31599998474121,,,,14.895000457763672,13.904000282287598,11.475000381469727,8.192000389099121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39628512285426154,204.61249676144203,31.488779145548964,1.0917818336865857,QSO,0.20630820269142736,0.0,,20.864999771118164,19.399700164794922,18.763599395751953,18.600400924682617,18.534900665283203,18.31100082397461,17.670000076293945,17.5939998626709,16.8439998626709,15.789999961853027,17.361000061035156,16.121999740600586,15.824000358581543,14.116999626159668,12.732000350952148,9.92300033569336,7.7270002365112305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39628516710418961,153.76244603117019,31.70554122193904,0.5319112365945744,QSO,0.2653246298572204,0.003738837673389926,22.01059913635254,21.02589988708496,19.72249984741211,19.131000518798828,18.80739974975586,18.76810073852539,18.227100372314453,,,,,,,,14.460000038146973,13.395000457763672,10.890999794006348,8.795999526977539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39632946793025886,253.40635673302046,33.32386308652351,1.051282732956627,QSO,0.21840871993467514,0.003948104318145825,,22.642799377441406,21.260900497436523,20.683300018310547,20.532699584960938,20.317899703979492,20.184999465942383,,,,,,,,16.201000213623047,15.015000343322754,12.131999969482422,8.684000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633149587623462,235.67261608011356,44.04167727341049,1.2656674337761236,QSO,0.2083564645875604,0.0,,21.70509910583496,20.37969970703125,19.60110092163086,19.38629913330078,19.276899337768555,19.17020034790039,,,,,,,,15.03600025177002,13.529999732971191,10.557000160217285,8.281000137329102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633267170738647,168.1081543185948,51.31365653194564,0.6634845244998793,QSO,0.34845965002646273,0.0,,21.462900161743164,20.252399444580078,19.6387996673584,19.24810028076172,18.738500595092773,18.953399658203125,,,,,,,,14.866999626159668,13.727999687194824,10.63599967956543,7.991000175476074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633311366122701,182.54323179132584,54.324657987216426,0.9981778732507213,QSO,0.2619239225530692,0.0,,22.0856990814209,21.273799896240234,20.669700622558594,20.465499877929688,20.068700790405273,19.799299240112305,,,,,,,,15.454999923706055,14.777000427246094,12.430999755859375,9.298999786376953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633325387681000,184.76983939003213,55.358007567620525,1.0472999419097988,QSO,0.28446166646359305,0.0,22.52829933166504,22.144699096679688,20.41939926147461,19.691499710083008,19.47130012512207,19.148500442504883,18.944400787353516,,,,,,,,14.918999671936035,13.824999809265137,10.946000099182129,8.9399995803833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633325958105931,244.0877145084918,55.272482721591714,0.9324849494006808,QSO,0.3863797645212006,0.0045161653694496045,,22.247900009155273,20.8302001953125,19.949899673461914,19.63290023803711,19.288999557495117,18.97719955444336,,,,,,,,14.621000289916992,13.395000457763672,10.461000442504883,8.062000274658203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633384095352378,189.1165616120524,59.693368788822525,0.8006508766223263,QSO,0.3573278762082862,0.013496907409269536,22.28070068359375,21.81170082092285,19.401599884033203,18.86709976196289,18.761699676513672,18.305599212646484,18.607999801635742,,,,,16.777000427246094,16.68899917602539,15.699999809265137,15.052000045776367,13.991999626159668,11.444999694824219,8.534000396728516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633396137198490,188.24557855679964,60.64483091315664,1.265637038343306,QSO,0.2742889672140325,0.0,,22.08329963684082,20.5137996673584,19.766700744628906,19.527700424194336,19.48189926147461,19.249099731445312,,,,,,,,15.484000205993652,14.380000114440918,11.902000427246094,8.859999656677246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633432401152732,143.13331950863065,63.96656862951787,0.5627894502316685,QSO,0.37083814830327666,0.00760562545328232,,22.0851993560791,20.551599502563477,19.928600311279297,19.45359992980957,19.443300247192383,19.108699798583984,,,,,,,,14.239999771118164,13.064000129699707,10.248000144958496,8.041999816894531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21.40489959716797,,,,,18.473899841308594,,16.812999725341797,16.358999252319336,14.996000289916992,,,,,,,,J110018.80+080455.3,165.078368,8.082062,0.803,redQSO,0.266,21.017,20.163,19.41,18.971,18.315,16.64,16.81,14.843,12.855,11.536,8.896,6.616,0.0,0.0,0.0,0.0,3580.7,w2m,20.163000106811523,19.40999984741211,18.97100067138672,18.315000534057617
,,,,,,,20.76420021057129,21.40369987487793,,,,,18.43779945373535,17.71299934387207,16.947999954223633,15.715999603271484,14.006999969482422,,,,,,,,J115449.31+112705.8,178.705467,11.451632,0.296,redQSO,0.901,20.881,20.039,18.919,18.604,18.082,16.707,15.772,14.057,11.814,10.457,7.77,5.852,0.0,0.0,0.0,0.0,7048.0,w2m,20.038999557495117,18.91900062561035,18.604000091552734,18.082000732421875
,,,,,,,22.25480079650879,20.97369956970215,,,,,18.1825008392334,17.374000549316406,16.72800064086914,16.35700035095215,15.322999954223633,,,,,,,,J132210.17+084232.9,200.542416,8.709141,0.325,redQSO,0.334,20.668,20.179,19.208,18.71,18.376,16.657,15.606,14.648,13.29,12.261,9.348,6.967,52.98,55.02,33.86,36.18,4158.6,w2m,20.179000854492188,19.20800018310547,18.709999084472656,18.375999450683594
,,,,,,,21.630199432373047,21.66659927368164,,,,,18.256799697875977,17.41200065612793,16.35700035095215,14.928999900817871,,,,,,,,,J134039.67+051419.7,205.165295,5.238808,0.264,redQSO,1.05,20.832,19.944,19.065,18.523,17.735,16.163,14.801,13.255,11.575,10.389,7.691,5.174,8.89,9.69,4.89,4.89,1925.7,B-F2M,19.944000244140625,19.065000534057617,18.523000717163086,17.735000610351562
,,,,,,,,22.126399993896484,,,,,18.865299224853516,,,,,,,,,,,,J140658.28+161142.6,211.742836,16.195199,0.92,redQSO,0.4,21.823,21.517,20.768,20.023,19.83,17.14,15.78,14.759,12.842,11.492,8.702,6.333,0.0,0.0,0.0,0.0,3573.3,w2m,21.517000198364258,20.76799964904785,20.023000717163086,19.829999923706055
,,,,,,,21.230600357055664,21.495500564575195,,,,,18.73590087890625,17.615999221801758,17.1200008392334,16.2549991607666,15.16100025177002,,,,,,,,J141354.73+110047.5r,213.478071,11.013204,0.328,redQSO,0.419,20.498,19.844,18.859,18.716,17.947,16.546,15.739,14.73,13.911,12.842,9.913,7.2,0.0,0.0,0.0,0.0,4284.4,Alp-r,19.8439998626709,18.858999252319336,18.715999603271484,17.94700050354004
,,,,,,,,20.88949966430664,,,,,18.3031005859375,,,,,,,,,,,,J143027.14+152514.8,217.613114,15.420809,0.66,redQSO,0.309,20.987,19.905,18.822,18.273,17.901,16.832,15.705,14.9,12.626,11.248,8.397,5.796,0.0,0.0,0.0,0.0,3207.2,w2m,19.905000686645508,18.82200050354004,18.273000717163086,17.900999069213867
,,,,,,,,21.401500701904297,,,,,18.93160057067871,18.260000228881836,17.148000717163086,16.2450008392334,15.067999839782715,,,,,,,,J143404.58+093528.5,218.519077,9.591255,0.77,redQSO,0.581,22.99,23.001,20.97,19.598,18.744,17.003,16.341,14.905,13.2,11.881,8.778,6.344,1.53,1.48,0.0,0.0,3501.8,w2m,23.000999450683594,20.969999313354492,19.597999572753906,18.743999481201172
,,,,,,,21.805299758911133,21.189599990844727,,,,,18.247400283813477,17.371999740600586,16.57200050354004,15.61299991607666,14.394000053405762,,,,,,,,J144809.53+054019.2,222.039727,5.672016,0.283,redQSO,0.587,20.322,19.48,18.403,18.24,17.492,16.244,15.296,14.18,12.698,11.456,8.342,5.633,15.83,16.66,7.47,7.88,1601.6,B,19.479999542236328,18.402999877929688,18.239999771118164,17.492000579833984
,,,,,,,21.77039909362793,22.572200775146484,,,,,19.326200485229492,18.05299949645996,17.312000274658203,16.2450008392334,14.946000099182129,,,,,,,,J150013.42+123645.2,225.055919,12.612562,0.407,redQSO,0.453,21.446,20.266,19.238,18.506,17.97,16.805,15.908,14.61,13.036,11.695,8.76,6.317,0.0,0.0,0.0,0.0,2418.4,w2m,20.266000747680664,19.238000869750977,18.506000518798828,17.969999313354492
,,,,,,,,21.387699127197266,,,,,17.70840072631836,16.952999114990234,16.6200008392334,15.970999717712402,15.168999671936035,,,,,,,,J150152.94+020604.9,225.470607,2.101365,1.19,redQSO,0.262,21.259,20.006,18.913,18.438,18.104,16.951,16.294,14.982,13.687,12.232,9.183,6.602,0.0,0.0,0.0,0.0,6543.0,w2m,20.006000518798828,18.913000106811523,18.437999725341797,18.104000091552734
,,,,,,,21.399200439453125,21.72369956970215,,,,,17.71540069580078,,,,,,,,,,,,J150356.69+125914.3,225.986245,12.987307,0.22,redQSO,0.304,20.398,19.455,18.21,17.684,17.491,16.129,15.607,14.505,13.354,12.401,9.634,6.732,1.69,1.01,0.74,0.93,3157.8,w2m,19.454999923706055,18.209999084472656,17.68400001525879,17.490999221801758
,,,,,,,21.572999954223633,22.054399490356445,,,,,17.739599227905273,17.378000259399414,16.801000595092773,15.715999603271484,14.45300006866455,,,,,,,,J150357.14+041856.3,225.98811,4.315645,0.405,redQSO,0.309,20.877,19.742,18.679,18.168,17.62,16.439,15.593,14.439,12.873,11.665,8.864,6.419,0.0,0.0,0.0,0.0,3612.3,w2m,19.742000579833984,18.679000854492188,18.167999267578125,17.6200008392334
,,,,,,,21.128299713134766,20.465299606323242,,,,,16.991500854492188,16.180999755859375,15.677000045776367,14.727999687194824,14.225000381469727,,,,,,,,J150746.11+093731.2,226.942139,9.625342,1.274,redQSO,0.263,20.115,19.129,17.913,17.371,17.031,15.752,14.881,14.125,12.754,11.402,8.512,6.105,0.0,0.0,0.0,0.0,3909.0,w2m,19.128999710083008,17.913000106811523,17.371000289916992,17.0310001373291
,,,,,,,,21.087200164794922,,,,,17.943300247192383,16.849000930786133,16.722000122070312,15.831000328063965,14.593999862670898,,,,,,,,J152259.51+032347.6r,230.747969,3.396561,0.567,redQSO,0.322,20.937,19.881,18.989,18.341,18.238,16.898,15.736,14.702,12.601,11.19,8.315,6.064,1.27,0.93,0.0,0.0,1740.5,b-r,19.881000518798828,18.98900032043457,18.340999603271484,18.238000869750977
,,,,,,,21.44849967956543,21.31369972229004,,,,,17.442899703979492,16.599000930786133,16.04800033569336,15.151000022888184,13.906000137329102,,,,,,,,J204626.10+002337.6,311.608778,0.393795,0.332,redQSO,0.451,20.005,18.988,18.012,17.878,17.229,15.934,14.74,13.683,12.056,10.843,7.835,5.246,1.19,1.14,0.81,0.82,2603.9,B,18.988000869750977,18.011999130249023,17.878000259399414,17.229000091552734
